,date,id,content,username,like_count,retweet_count
51,2023-01-03 01:03:49+00:00,1610079450439323648,"Later in 2070, you have to use trash for currency. 
There are no more sick or infirm people, because they have all been killed.
The economy is human milk and seaweed farms. Homosexuality is mandatory, but every African refugee knows Javascript.
",Geoffiam,2,0
52,2023-01-03 00:43:16+00:00,1610074279588003842,  Reminder - There is no such thing as a fighting age male “refugee”,AndorraFrog,4,0
53,2023-01-02 23:19:26+00:00,1610053181790355456,  You just made up BS to try and portray refugees as inherently more inclined to rape and murder. Your lies also suggest that male rape is worse than against females. It attempts to portray the rapists as somehow more deviant because it is gay. You are a disgusting person.,mrjpoo,0,0
54,2023-01-02 23:04:01+00:00,1610049301832695811,"  200 MALES ARE 200 MALES WHEREVER THEY'RE FROM.  

I have a real problem when Irish males complain about refugee males.  That Irish male is dodgy as fck.

So now we'll have the Irish racists/rapists now making use of your tweet to cause hurt to refugees.",CalicoRo,0,0
55,2023-01-02 22:14:11+00:00,1610036762042048513, Confused .. are you referring to Roderick or the young male refugees?,Mick96017306,0,0
56,2023-01-02 19:58:03+00:00,1610002502392463361," lol-  has been landing as many as possible in Dover for past 2 years ...some 90,000 illegal mainly male ec' migrants, including serious criminals (see 10,000+ Albanians-already the largest foreign grp in UK prisons) &amp; likely Islamic terror op's (see 'refugee' Abaaoud)",stevehmahoney,9,2
57,2023-01-02 19:18:12+00:00,1609992473526538240,"  The swedes aren't vetting them properly. Refugees and migrants should be prioritized based on those with FAMILY. This helps keep the young male trouble makers to a minimum, less running in packs, violence, etc.",HowNowB84345362,1,0
58,2023-01-02 18:58:49+00:00,1609987594179190791," Two months after a  firebombed a  detention centre, the apologists in the media are back to dog-whistle racism

To the voice of white, male, privilege, casual racism is a change from 

Wait for the hand-wringing after future such attacks by enabled racists ",HappenIwill,0,0
59,2023-01-02 16:58:52+00:00,1609957407492374535,"This male allegedly fled from Afghanistan after his family were killed

He likely travelled through 6 or 7 safe EU countries, only to almost drown in the English channel, why? 

Oh, apparently he is 12! 

   ",NEWS23Five,0,0
60,2023-01-02 13:45:40+00:00,1609908787993010179," The question needs to be answered, what deal was done that resulted in bus loads of single male refugees being pumped into every town of Ireland? This can’t be the norm, the Irish people got behind the housing of Ukrainian women and children but something underhanded is afoot.",Angryfeckerirl,0,0
61,2023-01-02 13:14:52+00:00,1609901036231180288,WOW!!! ALL MALE REFUGEES ?????? WHAT ABOUT THE WOMEN AND CHILDREN ??? ,Beckers71,1,0
62,2023-01-02 12:00:01+00:00,1609882202715688961,"An empathetic emotionally responsive physical installation to highlight the life conditions of a refugee, but the headset we use is made only for male heads.",TransmediaGen,0,0
63,2023-01-02 11:06:22+00:00,1609868701154611200," what an arrogant male guest re refugees! It's the RIGHT for anybody to apply for asylum!!
Your lady is correct. There is no way the foreigners can legally apply, as the UK demands applications must be made on UK territory.
FYI Europe have taken x1000s more than UK",DeniseTross,0,0
64,2023-01-02 10:38:08+00:00,1609861593868763145,"     Well the biggest difference is that previously there were 140 Ukrainian refugees, women and children, who were staying at the hotel and there was never any trouble. They were moved out of there to accommodate 200 male asylum seekers.",FourFourRED,0,0
